employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,age,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,jobinvolvement,performancerating,retirementdate,retirementtype,resignationreason
2631,1.0,3.0,3.0,38,travel_frequently,research & development,1,4,other,male,2,research scientist,married,36690,2,19,0,10.0,2,8,7,7,3,3,,,
2632,4.0,1.0,2.0,42,travel_rarely,research & development,6,3,medical,male,2,laboratory technician,divorced,100080,6,19,1,9.0,3,4,1,2,1,3,,,
2633,4.0,4.0,3.0,41,travel_rarely,sales,2,2,medical,male,1,healthcare representative,married,23870,3,17,1,12.0,1,5,1,0,1,3,,,
2634,3.0,2.0,1.0,47,non-travel,research & development,21,2,medical,male,1,sales executive,married,46390,0,11,1,14.0,2,13,5,12,2,3,,,
2635,4.0,3.0,3.0,35,travel_rarely,research & development,4,3,life sciences,male,2,healthcare representative,married,78980,7,15,0,5.0,2,2,2,2,2,3,,,
2636,4.0,3.0,4.0,22,travel_rarely,human resources,12,1,human resources,male,2,sales executive,single,25340,0,11,0,4.0,1,3,1,2,3,3,,,
2637,2.0,3.0,3.0,35,travel_rarely,research & development,9,3,medical,female,2,sales executive,single,131420,1,25,2,10.0,4,10,0,8,3,4,,,
2638,2.0,4.0,3.0,33,travel_rarely,sales,3,4,medical,male,3,healthcare representative,married,16110,0,14,0,10.0,2,9,8,1,2,3,,,
2639,3.0,2.0,3.0,32,travel_rarely,research & development,3,2,technical degree,male,3,manufacturing director,single,53630,1,13,0,6.0,4,6,4,1,3,3,,,
2640,1.0,4.0,2.0,40,travel_rarely,research & development,1,4,medical,male,2,research director,married,50710,8,17,1,8.0,3,1,0,0,2,3,,,
2641,2.0,2.0,3.0,32,travel_rarely,research & development,1,2,medical,male,3,sales executive,married,136950,0,13,0,3.0,3,2,2,2,3,3,,,
2642,1.0,4.0,3.0,39,travel_rarely,research & development,4,4,life sciences,male,1,sales executive,single,134020,7,14,1,18.0,1,7,1,7,3,3,,,
2643,2.0,3.0,3.0,38,travel_rarely,sales,20,4,medical,female,2,research director,married,20290,3,11,1,20.0,3,18,1,11,2,3,,,
2644,3.0,4.0,3.0,32,travel_rarely,research & development,18,3,life sciences,male,2,manager,married,63770,1,12,2,14.0,3,14,5,7,3,3,,,
2645,3.0,4.0,3.0,37,travel_rarely,research & development,1,3,life sciences,female,4,sales executive,married,54290,1,17,1,16.0,3,16,6,8,3,3,,,
2646,1.0,3.0,2.0,25,travel_rarely,research & development,2,4,medical,female,2,manufacturing director,divorced,27850,0,21,0,6.0,2,5,0,4,3,4,,,
2647,1.0,4.0,2.0,52,non-travel,research & development,2,4,other,male,1,manager,divorced,46140,2,16,1,16.0,3,9,0,0,3,3,,,
2648,2.0,4.0,3.0,44,travel_rarely,research & development,8,1,life sciences,female,1,sales representative,single,26100,6,15,0,6.0,2,4,1,2,3,3,,,
2649,3.0,1.0,3.0,21,travel_rarely,sales,10,5,medical,male,3,research scientist,single,66870,1,19,3,2.0,0,2,1,2,3,3,,,
2650,4.0,4.0,2.0,39,non-travel,research & development,3,4,life sciences,female,2,research director,single,47240,2,12,1,21.0,4,6,1,3,4,3,,,
2652,1.0,4.0,3.0,36,travel_rarely,research & development,24,3,life sciences,female,2,laboratory technician,married,61200,0,19,0,10.0,2,9,3,4,3,3,,,
2653,4.0,2.0,3.0,36,travel_frequently,research & development,16,1,medical,male,2,sales executive,divorced,105960,7,15,0,18.0,3,4,0,2,2,3,,,
2654,3.0,3.0,2.0,56,non-travel,research & development,8,1,life sciences,male,1,sales executive,divorced,54670,1,20,0,13.0,6,13,1,9,2,4,,,
2655,1.0,4.0,4.0,29,travel_rarely,research & development,9,4,medical,male,2,sales representative,married,29960,9,25,0,4.0,4,2,2,2,3,4,2016-03-12,resignation,stress
2656,1.0,3.0,2.0,42,travel_rarely,research & development,17,1,life sciences,male,3,research scientist,married,99980,5,24,2,24.0,3,22,4,14,2,4,,,
2657,4.0,3.0,1.0,56,travel_rarely,sales,10,4,other,male,2,sales executive,married,40780,8,24,1,14.0,3,10,9,8,3,4,2016-10-02,resignation,stress
2658,1.0,2.0,3.0,41,travel_rarely,research & development,13,4,life sciences,female,1,healthcare representative,married,109200,0,15,1,21.0,3,20,0,10,4,3,,,
2659,4.0,3.0,3.0,34,travel_rarely,sales,1,3,medical,female,1,laboratory technician,married,62320,1,13,1,8.0,3,8,1,7,3,3,,,
2660,4.0,4.0,2.0,36,non-travel,sales,1,1,medical,female,1,human resources,divorced,132470,1,14,0,15.0,3,15,11,11,3,3,,,
2661,3.0,2.0,3.0,41,travel_rarely,research & development,1,5,medical,male,1,healthcare representative,divorced,40810,2,13,0,14.0,3,5,0,4,3,3,,,
2662,4.0,1.0,3.0,32,travel_rarely,sales,9,4,life sciences,female,2,research scientist,single,57690,1,11,0,4.0,3,4,1,2,3,3,,,
2663,3.0,4.0,3.0,35,travel_rarely,research & development,16,3,medical,female,2,healthcare representative,single,23940,1,16,1,9.0,3,9,1,7,3,3,,,
2664,1.0,4.0,3.0,38,travel_rarely,research & development,23,3,medical,male,3,sales representative,married,39040,1,22,0,10.0,3,10,1,9,2,4,,,
2665,2.0,3.0,3.0,50,travel_frequently,sales,4,2,life sciences,female,2,laboratory technician,divorced,167990,7,14,1,12.0,2,6,0,1,2,3,2016-05-13,resignation,others
2666,2.0,4.0,2.0,36,travel_rarely,research & development,22,4,life sciences,male,1,healthcare representative,married,29500,4,14,0,8.0,1,6,0,0,2,3,,,
2667,4.0,3.0,3.0,45,travel_rarely,sales,24,3,life sciences,male,1,laboratory technician,single,36290,8,16,1,8.0,2,5,0,1,4,3,,,
2668,3.0,3.0,3.0,40,travel_rarely,sales,10,4,life sciences,male,1,research scientist,single,93620,2,11,1,8.0,6,2,2,2,3,3,,,
2669,3.0,3.0,4.0,35,travel_frequently,sales,7,2,life sciences,male,2,manufacturing director,married,32290,1,25,0,10.0,2,10,0,2,2,4,,,
2670,3.0,3.0,3.0,40,travel_rarely,research & development,17,4,life sciences,male,1,manager,married,35780,2,14,1,20.0,2,5,0,2,3,3,,,
2671,3.0,4.0,3.0,35,travel_rarely,human resources,14,1,life sciences,male,2,research scientist,married,79880,1,18,0,4.0,3,4,1,1,3,3,,,
2672,4.0,2.0,3.0,29,travel_rarely,research & development,1,3,medical,male,3,sales executive,married,42840,4,11,0,10.0,5,4,0,3,2,3,,,
2673,4.0,1.0,1.0,29,travel_rarely,research & development,5,3,medical,male,2,sales representative,single,75530,1,19,0,5.0,3,5,0,4,3,3,,,
2674,4.0,1.0,3.0,50,travel_rarely,research & development,17,3,medical,male,1,research scientist,divorced,173280,4,15,2,20.0,1,3,2,0,3,3,2016-06-26,resignation,salary
2675,2.0,4.0,2.0,39,travel_rarely,sales,25,3,medical,male,2,sales executive,married,197010,0,11,0,21.0,3,20,9,6,4,3,,,
2676,2.0,1.0,3.0,31,non-travel,research & development,8,4,life sciences,female,4,sales executive,single,147320,0,12,0,10.0,3,9,1,7,3,3,,,
2677,4.0,3.0,3.0,26,travel_rarely,research & development,11,4,medical,male,2,manager,single,92780,0,20,0,5.0,3,4,0,0,3,4,,,
2678,3.0,4.0,3.0,36,travel_frequently,research & development,5,1,technical degree,male,1,sales executive,married,13590,4,12,0,17.0,2,5,0,3,3,3,,,
2679,4.0,1.0,3.0,39,travel_rarely,research & development,2,1,medical,female,1,research scientist,married,47790,4,14,2,9.0,3,7,1,7,3,3,,,
2680,2.0,2.0,3.0,27,travel_rarely,research & development,8,2,medical,male,1,laboratory technician,married,164220,1,20,1,6.0,3,6,0,3,3,4,,,
2681,4.0,2.0,2.0,49,travel_frequently,research & development,6,1,medical,male,3,healthcare representative,married,29960,2,18,1,17.0,2,9,0,8,2,3,,,
2682,2.0,3.0,4.0,34,travel_rarely,sales,4,3,medical,female,1,sales executive,married,12610,2,14,1,6.0,6,4,1,2,3,3,,,
2683,2.0,4.0,1.0,41,travel_rarely,research & development,7,2,life sciences,female,1,research scientist,single,20990,8,12,1,8.0,2,6,0,5,3,3,2016-12-13,resignation,others
2684,3.0,2.0,3.0,49,travel_frequently,sales,1,4,life sciences,female,2,manufacturing director,married,58100,1,21,1,10.0,2,10,1,7,3,4,,,
2685,4.0,3.0,3.0,37,travel_rarely,research & development,2,3,life sciences,male,1,sales executive,single,56470,6,19,0,7.0,2,0,0,0,3,3,2016-06-23,resignation,others
2686,4.0,3.0,3.0,33,travel_frequently,research & development,10,2,medical,male,2,research scientist,married,34200,1,14,0,8.0,3,8,3,0,3,3,,,
2687,1.0,2.0,3.0,27,travel_rarely,sales,5,4,medical,female,4,manufacturing director,married,44000,9,17,1,6.0,3,2,2,2,2,3,,,
2688,4.0,4.0,2.0,32,travel_frequently,research & development,9,2,medical,female,2,research scientist,single,35000,0,16,1,8.0,2,7,3,6,2,3,,,
2689,3.0,1.0,2.0,59,travel_rarely,sales,2,2,marketing,female,5,sales representative,married,20660,4,12,1,12.0,3,1,0,0,3,3,,,
2690,4.0,3.0,3.0,30,travel_rarely,research & development,11,4,medical,male,2,laboratory technician,divorced,171690,1,17,2,1.0,2,1,0,0,3,3,,,
2691,4.0,3.0,3.0,38,travel_frequently,sales,18,4,life sciences,male,2,healthcare representative,single,41620,0,15,1,10.0,1,9,1,8,3,3,,,
2692,3.0,3.0,2.0,36,travel_rarely,research & development,7,3,life sciences,male,1,sales executive,married,92040,6,23,1,17.0,2,7,7,7,3,4,,,
2693,1.0,2.0,3.0,35,travel_rarely,human resources,3,4,human resources,male,2,manager,married,32940,0,11,0,6.0,2,5,0,3,3,3,,,
2694,4.0,3.0,3.0,29,travel_rarely,sales,29,4,life sciences,male,2,laboratory technician,single,21270,0,11,1,10.0,3,9,0,8,2,3,,,
2695,1.0,3.0,2.0,31,travel_rarely,research & development,2,2,medical,male,2,laboratory technician,divorced,39750,1,15,1,5.0,3,5,4,3,3,3,,,
2696,2.0,4.0,3.0,34,travel_rarely,research & development,28,3,technical degree,male,1,laboratory technician,divorced,107930,0,11,3,3.0,1,2,1,2,2,3,,,
2697,3.0,3.0,3.0,28,travel_rarely,research & development,1,4,life sciences,male,5,research director,single,100960,1,13,0,6.0,2,4,0,3,3,3,2016-07-29,resignation,others
2698,2.0,1.0,3.0,29,travel_rarely,research & development,16,2,life sciences,female,4,laboratory technician,divorced,36460,1,14,0,10.0,3,10,8,8,4,3,,,
2699,1.0,2.0,2.0,32,travel_rarely,human resources,22,3,human resources,female,2,research director,divorced,74460,0,19,0,7.0,3,6,0,5,3,3,,,
2700,4.0,4.0,2.0,22,non-travel,research & development,8,3,life sciences,female,3,sales executive,divorced,108510,1,16,1,1.0,2,1,0,0,4,3,,,
2701,1.0,4.0,3.0,53,travel_rarely,research & development,11,3,medical,male,2,manager,married,21090,2,13,0,31.0,3,25,3,7,3,3,,,
2702,4.0,4.0,3.0,38,travel_rarely,research & development,29,3,life sciences,female,1,manufacturing director,single,37220,5,14,0,6.0,0,3,1,2,3,3,,,
2703,1.0,3.0,2.0,24,non-travel,research & development,1,5,life sciences,male,3,research scientist,divorced,93800,0,16,0,5.0,2,4,1,3,2,3,,,
2704,3.0,1.0,3.0,36,travel_rarely,research & development,1,3,life sciences,male,1,research director,single,54860,7,12,1,10.0,2,5,0,3,3,3,2016-07-13,resignation,salary
2705,1.0,2.0,3.0,34,travel_rarely,sales,24,3,marketing,male,4,research scientist,single,27420,0,11,1,13.0,2,12,2,11,3,3,,,
2706,3.0,4.0,3.0,21,travel_rarely,sales,2,3,life sciences,male,2,manufacturing director,single,137570,1,12,1,0.0,3,0,0,0,3,3,,,
2707,2.0,1.0,3.0,34,travel_rarely,sales,15,2,marketing,female,2,research scientist,single,84630,2,13,0,8.0,2,4,1,3,1,3,2016-01-05,resignation,others
2708,3.0,1.0,2.0,53,travel_rarely,sales,2,1,life sciences,male,5,human resources,divorced,31620,4,15,0,26.0,4,14,4,8,3,3,,,
2709,2.0,1.0,3.0,32,travel_frequently,research & development,10,3,medical,female,2,manufacturing director,single,165980,1,13,0,10.0,2,10,6,7,3,3,2016-01-07,resignation,salary
2710,3.0,2.0,3.0,42,travel_rarely,research & development,10,3,technical degree,male,2,laboratory technician,married,66510,0,20,0,10.0,5,9,4,2,2,4,,,
2711,1.0,4.0,3.0,44,travel_rarely,research & development,3,1,life sciences,female,1,manufacturing director,married,23450,3,15,2,24.0,0,22,5,17,3,3,,,
2712,2.0,1.0,2.0,46,travel_rarely,sales,2,3,life sciences,female,1,research scientist,single,34200,3,13,2,22.0,3,2,2,1,1,3,,,
2713,3.0,4.0,3.0,33,travel_rarely,sales,3,3,medical,male,1,manufacturing director,single,43730,4,14,0,7.0,3,1,0,0,3,3,,,
2714,4.0,4.0,4.0,44,travel_rarely,human resources,26,3,life sciences,male,5,healthcare representative,married,47590,2,21,0,9.0,2,4,1,3,3,4,,,
2715,4.0,3.0,3.0,30,travel_rarely,research & development,1,4,technical degree,female,1,research scientist,single,53010,1,16,1,10.0,3,10,1,8,3,3,,,
2716,4.0,4.0,4.0,39,travel_rarely,human resources,1,4,medical,male,1,sales executive,married,36730,3,14,1,19.0,3,1,0,0,3,3,2016-12-04,resignation,others
2718,4.0,3.0,2.0,43,travel_rarely,sales,9,5,technical degree,female,1,research director,divorced,12740,1,19,0,6.0,3,5,1,4,2,3,,,
2719,1.0,3.0,3.0,50,travel_rarely,research & development,12,4,medical,male,1,research director,married,49000,1,11,0,3.0,3,3,0,2,2,3,2016-04-13,resignation,others
2720,4.0,4.0,3.0,35,travel_rarely,sales,2,4,marketing,male,3,manufacturing director,married,104660,1,13,0,2.0,1,2,2,2,3,3,,,
2721,2.0,1.0,4.0,36,travel_rarely,research & development,25,1,life sciences,female,4,sales executive,married,170070,9,12,1,6.0,2,1,0,0,2,3,,,
2722,3.0,1.0,3.0,33,travel_frequently,sales,9,2,marketing,male,4,human resources,married,29090,2,11,0,10.0,2,5,1,3,2,3,,,
2723,3.0,4.0,3.0,35,travel_rarely,research & development,10,1,medical,male,1,research scientist,divorced,57650,1,14,1,1.0,2,1,0,0,3,3,,,
2724,4.0,1.0,3.0,27,travel_rarely,sales,8,2,marketing,female,3,research scientist,divorced,45990,1,15,1,1.0,3,1,0,0,2,3,,,
2726,4.0,3.0,3.0,27,travel_frequently,sales,24,3,life sciences,male,4,healthcare representative,single,31720,1,20,1,9.0,1,9,1,7,3,4,,,
2727,3.0,4.0,3.0,30,travel_frequently,research & development,1,4,medical,male,1,research scientist,single,20330,1,14,1,12.0,3,12,3,7,1,3,,,
2728,2.0,3.0,3.0,41,travel_rarely,sales,20,4,marketing,male,2,sales executive,married,102090,1,13,1,23.0,2,22,15,8,3,3,2016-07-04,resignation,others
2729,2.0,3.0,3.0,34,non-travel,research & development,7,2,technical degree,female,1,research scientist,single,86200,0,13,1,10.0,2,9,8,7,2,3,,,
2730,2.0,2.0,3.0,37,travel_rarely,research & development,17,3,life sciences,female,3,sales executive,married,20640,4,16,0,8.0,3,1,0,0,2,3,,,
2731,1.0,4.0,3.0,46,travel_frequently,research & development,20,3,technical degree,male,3,sales executive,single,40350,4,14,1,14.0,2,9,0,8,3,3,,,
2732,4.0,4.0,3.0,35,travel_rarely,research & development,8,4,medical,female,3,research scientist,married,38380,1,16,1,1.0,2,1,0,1,3,3,,,
2733,1.0,3.0,3.0,48,travel_rarely,research & development,2,4,technical degree,female,1,sales executive,single,45910,9,16,0,23.0,6,1,0,0,1,3,2016-02-11,resignation,others
2734,3.0,3.0,2.0,28,travel_rarely,research & development,10,1,medical,male,1,sales executive,single,25610,1,22,1,2.0,3,2,2,2,3,4,2016-04-09,resignation,others
2735,2.0,1.0,2.0,44,travel_rarely,research & development,1,1,medical,female,3,research scientist,divorced,15630,5,12,2,9.0,3,4,1,3,3,3,,,
2736,3.0,1.0,3.0,35,non-travel,research & development,5,4,technical degree,female,3,manufacturing director,married,48980,2,15,2,10.0,2,4,2,3,3,3,,,
2737,3.0,4.0,2.0,26,travel_rarely,research & development,4,4,life sciences,female,3,sales executive,married,47890,7,20,1,5.0,2,2,0,0,3,4,,,
2738,1.0,4.0,3.0,33,travel_frequently,sales,29,4,life sciences,female,1,human resources,single,31800,1,14,1,15.0,2,15,8,12,3,3,,,
2739,2.0,1.0,2.0,35,travel_frequently,research & development,15,3,medical,male,3,manufacturing director,married,65490,1,20,0,9.0,3,9,1,8,3,4,,,
2740,3.0,1.0,3.0,35,travel_rarely,human resources,3,2,life sciences,female,1,laboratory technician,married,63880,3,13,0,4.0,6,2,2,2,2,3,,,
2741,4.0,4.0,2.0,31,travel_rarely,sales,10,2,life sciences,female,2,research scientist,divorced,112440,3,12,1,10.0,3,7,1,7,3,3,,,
2742,1.0,3.0,4.0,37,travel_rarely,sales,4,3,marketing,male,4,human resources,divorced,160320,1,13,0,7.0,2,7,0,7,3,3,,,
2743,1.0,4.0,3.0,32,travel_rarely,research & development,21,3,other,male,2,sales executive,married,23620,1,11,0,9.0,2,9,7,8,3,3,,,
2744,4.0,4.0,3.0,38,travel_frequently,research & development,25,3,medical,male,2,manufacturing director,single,163280,1,17,3,10.0,2,10,9,9,3,3,,,
2745,2.0,3.0,2.0,50,travel_rarely,sales,2,4,marketing,female,4,research scientist,divorced,83760,5,14,3,29.0,2,27,13,8,3,3,,,
2746,1.0,1.0,2.0,59,travel_rarely,research & development,1,3,technical degree,male,1,laboratory technician,single,166060,7,11,0,28.0,6,21,7,9,3,3,,,
2747,3.0,3.0,3.0,36,travel_rarely,sales,1,2,marketing,female,2,sales executive,divorced,86060,1,14,2,17.0,3,17,12,8,3,3,,,
2748,4.0,3.0,3.0,55,travel_rarely,research & development,7,3,medical,male,3,research scientist,divorced,22720,2,17,1,21.0,2,5,0,2,3,3,,,
2749,2.0,2.0,3.0,36,travel_frequently,research & development,3,3,life sciences,female,2,laboratory technician,single,20180,1,13,0,6.0,5,6,0,3,3,3,,,
2750,2.0,1.0,3.0,45,travel_rarely,research & development,1,2,medical,female,1,sales executive,divorced,70830,2,12,1,25.0,5,1,0,0,3,3,,,
2751,2.0,1.0,2.0,35,travel_frequently,human resources,9,3,other,female,2,sales representative,married,40840,4,13,1,5.0,3,3,1,2,3,3,,,
2752,4.0,3.0,2.0,36,travel_rarely,sales,7,2,life sciences,male,4,laboratory technician,married,144110,0,18,3,2.0,2,1,0,0,4,3,2016-08-13,resignation,salary
2753,1.0,3.0,2.0,59,travel_frequently,research & development,10,4,life sciences,male,3,research scientist,single,23080,7,19,1,20.0,4,4,1,3,2,3,,,
2754,3.0,2.0,3.0,29,travel_rarely,research & development,28,4,life sciences,female,1,sales representative,married,48410,0,11,0,6.0,3,5,0,4,3,3,,,
2755,3.0,2.0,3.0,31,travel_rarely,research & development,3,2,medical,female,3,sales executive,single,42850,1,21,1,1.0,2,1,1,0,1,4,,,
2756,2.0,2.0,3.0,32,travel_rarely,sales,3,4,life sciences,male,2,manufacturing director,married,97150,1,15,1,10.0,1,10,0,9,2,3,,,
2757,2.0,4.0,3.0,36,travel_rarely,research & development,2,3,life sciences,male,2,sales representative,married,43200,3,17,0,5.0,2,1,0,0,3,3,,,
2758,3.0,4.0,3.0,31,travel_rarely,research & development,27,3,medical,female,2,research director,single,21320,1,18,0,11.0,3,11,1,8,3,3,,,
2759,3.0,1.0,3.0,35,travel_rarely,research & development,2,4,medical,male,2,healthcare representative,single,101240,0,14,1,16.0,2,15,2,8,4,3,,,
2760,4.0,1.0,4.0,45,travel_rarely,human resources,14,3,human resources,female,1,sales executive,married,54730,4,13,0,17.0,3,0,0,0,1,3,,,
2761,1.0,3.0,4.0,37,travel_rarely,research & development,1,3,life sciences,female,3,sales executive,single,52070,4,17,3,16.0,3,5,0,2,3,3,,,
2762,2.0,2.0,3.0,46,travel_rarely,research & development,9,3,medical,male,3,manager,divorced,164370,8,15,1,16.0,0,4,0,2,3,3,,,
2763,4.0,4.0,2.0,30,travel_rarely,sales,18,3,life sciences,male,4,human resources,married,22960,1,18,1,10.0,2,10,3,0,3,3,,,
2764,2.0,3.0,3.0,35,travel_rarely,research & development,20,4,life sciences,female,3,human resources,single,40690,1,13,0,6.0,5,6,0,4,3,3,,,
2765,1.0,4.0,3.0,55,travel_rarely,research & development,2,3,life sciences,female,2,laboratory technician,married,74410,3,12,1,24.0,4,1,1,0,3,3,,,
2766,2.0,4.0,3.0,38,non-travel,sales,11,1,marketing,male,2,laboratory technician,divorced,24300,7,13,2,17.0,2,13,1,9,4,3,,,
2767,1.0,2.0,3.0,34,travel_rarely,research & development,8,2,medical,male,1,research scientist,married,58780,1,14,0,5.0,1,5,1,3,3,3,,,
2768,4.0,4.0,2.0,56,travel_rarely,human resources,2,1,medical,male,2,sales executive,single,26440,4,11,1,37.0,2,6,0,2,3,3,,,
2769,3.0,1.0,3.0,23,travel_rarely,research & development,10,3,medical,male,2,laboratory technician,divorced,64390,3,22,3,3.0,2,0,0,0,3,4,,,
2770,4.0,4.0,3.0,51,travel_rarely,research & development,29,4,life sciences,female,5,manufacturing director,married,24510,3,17,0,10.0,2,4,0,3,2,3,,,
2771,3.0,4.0,3.0,30,travel_rarely,sales,8,2,technical degree,male,1,sales representative,married,63920,1,21,1,11.0,2,11,10,8,4,4,,,
2772,3.0,4.0,3.0,46,travel_rarely,sales,1,2,medical,female,2,research scientist,single,97140,1,22,0,9.0,0,9,4,7,3,4,2016-11-30,resignation,others
2773,3.0,2.0,2.0,40,travel_frequently,research & development,6,3,medical,male,1,healthcare representative,married,60770,1,16,2,22.0,2,22,11,11,2,3,,,
2774,3.0,4.0,1.0,51,travel_rarely,research & development,8,4,life sciences,female,5,sales representative,single,24500,0,12,1,11.0,2,10,1,0,3,3,,,
2775,3.0,2.0,2.0,30,travel_rarely,research & development,9,3,life sciences,male,1,manufacturing director,divorced,92500,1,12,3,11.0,0,11,2,7,3,3,,,
2776,3.0,1.0,2.0,46,travel_frequently,research & development,12,1,medical,male,1,laboratory technician,married,20740,2,15,1,21.0,3,10,9,5,3,3,,,
2777,2.0,3.0,3.0,32,travel_rarely,sales,15,3,marketing,male,1,research scientist,single,101690,1,14,0,12.0,6,11,5,7,2,3,,,
2778,1.0,3.0,1.0,54,travel_rarely,research & development,25,1,medical,female,1,laboratory technician,married,48550,9,25,1,16.0,2,4,0,3,2,4,,,
2779,1.0,3.0,2.0,24,travel_rarely,sales,6,2,marketing,male,2,research scientist,married,40870,0,20,3,4.0,1,3,0,2,3,4,,,
2780,2.0,3.0,4.0,28,non-travel,sales,9,4,medical,male,2,laboratory technician,married,23670,1,13,0,5.0,2,5,0,4,2,3,,,
2781,4.0,3.0,2.0,58,travel_rarely,research & development,8,4,life sciences,male,2,sales executive,single,29720,0,14,0,38.0,2,37,1,8,4,3,,,
2782,2.0,2.0,4.0,44,non-travel,research & development,23,2,medical,female,1,research scientist,married,195860,4,16,0,17.0,3,3,1,2,2,3,,,
2783,3.0,1.0,3.0,37,travel_rarely,human resources,9,3,human resources,male,2,healthcare representative,divorced,54840,4,17,0,7.0,4,3,0,2,3,3,2016-03-04,resignation,stress
2784,4.0,1.0,3.0,32,travel_rarely,human resources,12,2,human resources,female,1,sales representative,single,20610,1,15,1,1.0,2,1,0,0,2,3,,,
2785,4.0,4.0,3.0,20,travel_frequently,sales,4,4,life sciences,female,2,healthcare representative,single,99240,1,22,0,1.0,3,1,1,0,3,4,2016-10-30,resignation,others
2786,1.0,3.0,3.0,34,travel_rarely,research & development,1,4,other,male,4,laboratory technician,single,41980,1,22,1,16.0,2,16,2,10,2,4,,,
2787,3.0,4.0,4.0,37,non-travel,sales,24,2,life sciences,male,1,research scientist,divorced,68150,5,20,1,17.0,3,1,0,0,3,4,,,
2788,3.0,4.0,3.0,59,non-travel,research & development,12,2,life sciences,male,2,sales executive,married,47230,9,14,0,30.0,0,3,2,2,3,3,,,
2789,1.0,2.0,2.0,50,travel_frequently,research & development,3,4,medical,male,4,research scientist,married,61420,3,13,2,28.0,3,8,0,7,2,3,,,
2791,4.0,4.0,3.0,25,travel_rarely,research & development,26,3,technical degree,male,1,laboratory technician,married,88530,1,22,1,2.0,3,2,2,1,3,4,,,
2792,2.0,4.0,3.0,22,travel_rarely,research & development,2,1,life sciences,male,1,sales representative,single,193310,1,12,1,1.0,2,0,0,0,3,3,,,
2793,1.0,1.0,2.0,51,travel_frequently,research & development,1,3,life sciences,female,1,sales executive,single,20730,3,14,1,23.0,4,13,12,8,3,3,,,
2794,1.0,3.0,3.0,34,travel_frequently,human resources,4,4,life sciences,female,5,sales executive,single,55620,1,15,0,9.0,3,9,0,6,3,3,2016-04-17,resignation,salary
2795,4.0,4.0,3.0,54,non-travel,research & development,9,3,life sciences,male,1,laboratory technician,single,196130,2,17,0,23.0,5,5,4,4,3,3,,,
2796,2.0,3.0,3.0,24,travel_rarely,research & development,2,1,life sciences,male,2,laboratory technician,married,34070,0,13,1,6.0,4,5,1,2,3,3,,,
2797,3.0,2.0,3.0,34,travel_rarely,sales,4,3,marketing,female,2,sales representative,divorced,50630,6,12,1,12.0,2,1,0,0,3,3,,,
2798,3.0,4.0,3.0,37,travel_rarely,sales,6,1,technical degree,male,1,laboratory technician,single,46390,2,12,2,12.0,3,5,1,3,3,3,,,
2799,3.0,1.0,3.0,34,travel_rarely,sales,9,2,medical,male,2,healthcare representative,single,48760,2,21,1,14.0,3,11,5,8,3,4,,,
2800,2.0,4.0,3.0,36,travel_frequently,human resources,7,3,medical,male,1,research scientist,married,26900,0,11,0,10.0,1,9,2,8,3,3,,,
2801,1.0,4.0,3.0,36,travel_rarely,research & development,1,3,medical,female,2,manufacturing director,divorced,175670,5,13,0,7.0,6,1,0,0,3,3,,,
2802,3.0,4.0,4.0,43,travel_frequently,research & development,3,4,life sciences,male,1,sales executive,married,24080,1,12,1,25.0,3,25,4,12,3,3,,,
2803,1.0,3.0,2.0,30,travel_frequently,research & development,10,3,life sciences,female,3,healthcare representative,divorced,28140,1,24,0,10.0,2,10,0,9,3,4,,,
2804,3.0,2.0,4.0,33,non-travel,sales,7,3,life sciences,male,2,sales executive,married,112450,0,21,0,8.0,3,7,0,7,3,4,,,
2805,2.0,2.0,3.0,56,travel_rarely,research & development,15,3,life sciences,male,2,laboratory technician,married,33120,9,19,0,7.0,1,5,4,3,1,3,2016-10-25,resignation,others
2806,1.0,3.0,3.0,51,travel_rarely,research & development,3,2,other,female,2,sales representative,single,190490,7,14,1,23.0,2,20,15,15,3,3,,,
2807,2.0,3.0,2.0,31,travel_rarely,research & development,2,4,technical degree,female,3,sales executive,married,21410,4,20,0,12.0,2,7,7,7,3,4,2016-07-29,resignation,others
2808,3.0,2.0,2.0,26,travel_rarely,sales,17,3,medical,female,2,manager,married,57690,1,19,0,5.0,4,5,4,3,2,3,,,
2810,4.0,3.0,2.0,19,travel_rarely,research & development,5,2,life sciences,male,1,manager,single,53320,1,23,1,0.0,2,0,0,0,3,4,2016-10-02,resignation,stress
2811,3.0,4.0,3.0,22,travel_rarely,sales,29,4,technical degree,male,1,sales executive,married,46630,0,13,1,3.0,1,2,2,1,3,3,,,
2812,3.0,1.0,2.0,49,travel_rarely,research & development,2,3,life sciences,female,1,sales executive,married,47240,1,11,1,16.0,3,15,5,11,2,3,,,
2813,2.0,3.0,3.0,43,travel_frequently,sales,2,2,life sciences,male,1,sales executive,single,32110,4,13,0,18.0,2,3,1,2,4,3,,,
2814,3.0,4.0,3.0,50,travel_frequently,research & development,19,4,life sciences,male,2,sales executive,single,53770,4,14,1,16.0,3,2,2,1,4,3,,,
